release_period,state,measure_id,bottom-box_percentage,middle-box_percentage,top-box_percentage,state_name,region,nps
2016,LA,H_RECMND,4.0,19.0,77.0,Louisiana,West South Central,73.0
2016,MA,H_RECMND,5.0,21.0,74.0,Massachusetts,New England,69.0
2016,ME,H_RECMND,4.0,20.0,76.0,Maine,New England,72.0
2016,MI,H_RECMND,4.0,25.0,71.0,Michigan,East North Central,67.0
2016,MN,H_RECMND,3.0,21.0,76.0,Minnesota,West North Central,73.0
2016,MO,H_RECMND,5.0,26.0,69.0,Missouri,West North Central,64.0
2016,MS,H_RECMND,6.0,24.0,70.0,Mississippi,East South Central,64.0
2016,MT,H_RECMND,4.0,25.0,71.0,Montana,Mountain,67.0
2016,NC,H_RECMND,5.0,25.0,70.0,North Carolina,South Atlantic,65.0
2016,ND,H_RECMND,5.0,23.0,72.0,North Dakota,West North Central,67.0
2016,NE,H_RECMND,2.0,19.0,79.0,Nebraska,West North Central,77.0
2016,NH,H_RECMND,4.0,22.0,74.0,New Hampshire,New England,70.0
2016,NJ,H_RECMND,7.0,27.0,66.0,New Jersey,Mid-Atlantic,59.0
2016,NM,H_RECMND,6.0,30.0,64.0,New Mexico,Mountain,58.0
2016,NV,H_RECMND,8.0,26.0,66.0,Nevada,Mountain,58.0
2016,NY,H_RECMND,7.0,27.0,66.0,New York,Mid-Atlantic,59.0
2016,OH,H_RECMND,4.0,24.0,72.0,Ohio,East North Central,68.0
2016,OK,H_RECMND,5.0,24.0,71.0,Oklahoma,West South Central,66.0
2016,OR,H_RECMND,4.0,24.0,72.0,Oregon,Pacific,68.0
2016,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2016,RI,H_RECMND,5.0,22.0,73.0,Rhode Island,New England,68.0
2016,SC,H_RECMND,5.0,24.0,71.0,South Carolina,South Atlantic,66.0
2016,SD,H_RECMND,2.0,21.0,77.0,South Dakota,West North Central,75.0
2016,TN,H_RECMND,6.0,23.0,71.0,Tennessee,East South Central,65.0
2016,TX,H_RECMND,5.0,21.0,74.0,Texas,West South Central,69.0
2016,UT,H_RECMND,3.0,20.0,77.0,Utah,Mountain,74.0
2016,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2016,VT,H_RECMND,4.0,22.0,74.0,Vermont,New England,70.0
2016,WA,H_RECMND,5.0,23.0,72.0,Washington,Pacific,67.0
2016,WI,H_RECMND,3.0,22.0,75.0,Wisconsin,East North Central,72.0
2016,WV,H_RECMND,6.0,27.0,67.0,West Virginia,South Atlantic,61.0
2016,WY,H_RECMND,4.0,29.0,67.0,Wyoming,Mountain,63.0
2017,AK,H_RECMND,4.0,27.0,69.0,Alaska,Pacific,65.0
2017,AL,H_RECMND,5.0,24.0,71.0,Alabama,East South Central,66.0
2017,AR,H_RECMND,5.0,25.0,70.0,Arkansas,West South Central,65.0
2017,AZ,H_RECMND,6.0,25.0,69.0,Arizona,Mountain,63.0
2017,CA,H_RECMND,7.0,23.0,70.0,California,Pacific,63.0
2017,CO,H_RECMND,4.0,20.0,76.0,Colorado,Mountain,72.0
2017,CT,H_RECMND,5.0,25.0,70.0,Connecticut,New England,65.0
